time;total;exploitable;vols;memoire;retbdd
Thu May 03 22:18:00 CEST 2018;908141;772354;8889;8812;0.0
Thu May 03 22:18:14 CEST 2018;913834;777333;8947;8866;0.0
Thu May 03 22:18:28 CEST 2018;919506;782161;8972;8889;0.0
Thu May 03 22:18:41 CEST 2018;925174;786952;8988;8904;0.0
Thu May 03 22:18:52 CEST 2018;930827;791850;9024;8935;0.0
Thu May 03 22:19:04 CEST 2018;936502;796642;9057;8966;0.0
Thu May 03 22:19:15 CEST 2018;942211;801446;9092;8999;0.0
Thu May 03 22:19:28 CEST 2018;947924;806262;9116;9022;0.0
Thu May 03 22:19:40 CEST 2018;953647;811075;9141;9044;0.0
Thu May 03 22:19:52 CEST 2018;959364;815985;9189;9081;0.0
Thu May 03 22:20:04 CEST 2018;965109;820766;9219;9110;0.0
Thu May 03 22:20:16 CEST 2018;970840;825520;9245;9132;0.0
Thu May 03 22:20:28 CEST 2018;976559;830248;9264;9152;0.0
Thu May 03 22:20:42 CEST 2018;982294;835000;9297;9183;0.0
Thu May 03 22:20:54 CEST 2018;988030;839898;9349;9230;0.0
Thu May 03 22:21:05 CEST 2018;993762;844648;9377;9253;0.0
Thu May 03 22:21:16 CEST 2018;999504;849446;9403;9278;0.0
Thu May 03 22:21:29 CEST 2018;1005268;854255;9432;9304;0.0
Thu May 03 22:21:42 CEST 2018;1011044;859061;9455;9326;0.0
Thu May 03 22:21:53 CEST 2018;1016810;863962;9501;9368;0.0
Thu May 03 22:22:06 CEST 2018;1022529;868697;9517;9379;0.0
Thu May 03 22:22:18 CEST 2018;1028249;873405;9532;9390;0.0
Thu May 03 22:22:31 CEST 2018;1033973;878151;9557;9408;0.0
Thu May 03 22:22:42 CEST 2018;1039704;882995;9597;9447;0.0
Thu May 03 22:22:55 CEST 2018;1045429;887707;9610;9461;0.0
Thu May 03 22:23:06 CEST 2018;1051211;892486;9665;9512;0.0
Thu May 03 22:23:18 CEST 2018;1057011;897264;9700;9544;0.0
Thu May 03 22:23:30 CEST 2018;1062802;902041;9717;9560;0.0
Thu May 03 22:23:42 CEST 2018;1068586;906955;9764;9605;0.0
Thu May 03 22:23:54 CEST 2018;1074380;911744;9792;9629;0.0
Thu May 03 22:24:06 CEST 2018;1080157;916496;9809;9646;0.0
Thu May 03 22:24:20 CEST 2018;1085936;921259;9837;9672;0.0
Thu May 03 22:24:31 CEST 2018;1091701;926022;9861;9695;0.0
Thu May 03 22:24:45 CEST 2018;1097477;930907;9912;9740;0.0
