time;total;exploitable;vols;memoire;retbdd
Thu May 03 20:43:02 CEST 2018;765011;653856;9297;6091;853.0
Thu May 03 20:43:12 CEST 2018;770735;658767;9322;6089;859.0
Thu May 03 20:43:23 CEST 2018;776467;663715;9351;6094;865.0
Thu May 03 20:43:30 CEST 2018;782217;668631;9386;6100;875.0
Thu May 03 20:43:40 CEST 2018;787966;673559;9413;6102;881.0
Thu May 03 20:43:51 CEST 2018;793719;678467;9450;6108;887.0
Thu May 03 20:44:01 CEST 2018;799474;683393;9473;6106;893.0
Thu May 03 20:44:12 CEST 2018;805232;688313;9494;6103;900.0
Thu May 03 20:44:21 CEST 2018;810985;693231;9520;6101;912.0
Thu May 03 20:44:30 CEST 2018;816730;698129;9542;6095;923.0
Thu May 03 20:44:40 CEST 2018;822463;703023;9563;6092;934.0
Thu May 03 20:44:53 CEST 2018;828187;707940;9587;6089;939.0
Thu May 03 20:45:00 CEST 2018;833914;712849;9618;6085;948.0
Thu May 03 20:45:13 CEST 2018;839634;717795;9648;6088;957.0
Thu May 03 20:45:20 CEST 2018;845347;722717;9676;6079;965.0
Thu May 03 20:45:31 CEST 2018;851062;727643;9701;6072;968.0
Thu May 03 20:45:41 CEST 2018;856778;732582;9725;6067;977.0
Thu May 03 20:45:54 CEST 2018;862495;737505;9756;6062;985.0
Thu May 03 20:46:04 CEST 2018;868209;742416;9778;6056;991.0
Thu May 03 20:46:13 CEST 2018;873923;747334;9806;6051;999.0
Thu May 03 20:46:22 CEST 2018;879634;752277;9828;6049;1008.0
Thu May 03 20:46:33 CEST 2018;885346;757188;9860;6050;1016.0
Thu May 03 20:46:44 CEST 2018;891046;762081;9890;6047;1024.0
Thu May 03 20:46:54 CEST 2018;896756;766980;9918;6050;1032.0
Thu May 03 20:47:01 CEST 2018;902464;771897;9942;6044;1038.0
Thu May 03 20:47:13 CEST 2018;908162;776795;9957;6028;1046.0
Thu May 03 20:47:24 CEST 2018;913880;781730;10000;6038;1058.0
Thu May 03 20:47:33 CEST 2018;919585;786614;10031;6040;1065.0
Thu May 03 20:47:46 CEST 2018;925308;791540;10079;6068;1074.0
Thu May 03 20:47:58 CEST 2018;931042;796464;10120;6082;1083.0
Thu May 03 20:48:08 CEST 2018;936780;801395;10145;6086;1088.0
Thu May 03 20:48:16 CEST 2018;942519;806303;10172;6096;1090.0
Thu May 03 20:48:24 CEST 2018;948237;811165;10200;6096;1099.0
Thu May 03 20:48:33 CEST 2018;953949;816033;10222;6090;1104.0
Thu May 03 20:48:42 CEST 2018;959666;820889;10248;6085;1110.0
Thu May 03 20:48:52 CEST 2018;965396;825769;10284;6096;1116.0
Thu May 03 20:49:02 CEST 2018;971124;830644;10306;6094;1121.0
Thu May 03 20:49:11 CEST 2018;976866;835551;10333;6095;1124.0
Thu May 03 20:49:22 CEST 2018;982614;840450;10355;6090;1133.0
Thu May 03 20:49:36 CEST 2018;988365;845350;10385;6089;1143.0
Thu May 03 20:49:43 CEST 2018;994102;850220;10403;6080;1149.0
Thu May 03 20:49:50 CEST 2018;999838;855103;10424;6080;1153.0
Thu May 03 20:50:05 CEST 2018;1005602;860014;10469;6100;1160.0
Thu May 03 20:50:15 CEST 2018;1011377;864942;10503;6102;1168.0
Thu May 03 20:50:22 CEST 2018;1017162;869882;10539;6112;1174.0
Thu May 03 20:50:38 CEST 2018;1022947;874814;10569;6117;1183.0
Thu May 03 20:50:45 CEST 2018;1028710;879705;10594;6116;1192.0
Thu May 03 20:50:53 CEST 2018;1034494;884627;10627;6123;1195.0
Thu May 03 20:51:08 CEST 2018;1040283;889597;10664;6137;1200.0
Thu May 03 20:51:14 CEST 2018;1046074;894519;10688;6135;1206.0
